Animal_ID,Tipo,Lectura,Peso_kg,Temperatura_C
1,Ternero,0,180.0,38.5
1,Ternero,1,180.77,38.6
1,Ternero,2,181.57,39.4
1,Ternero,3,183.57,38.2
1,Ternero,4,184.83,39.4
1,Ternero,5,186.83,39.1
1,Ternero,6,188.25,39.1
1,Ternero,7,190.25,38.6
1,Ternero,8,191.01,38.8
1,Ternero,9,191.83,39.1
1,Ternero,10,193.83,39.2
1,Ternero,11,194.88,38.3
1,Ternero,12,196.88,38.2
1,Ternero,13,197.44,38.7
1,Ternero,14,199.44,39.6
1,Ternero,15,200.23,39.8
1,Ternero,16,202.23,38.1
1,Ternero,17,202.81,39.4
1,Ternero,18,203.93,38.2
1,Ternero,19,205.93,39.9
1,Ternero,20,207.04,38.2
1,Ternero,21,209.04,39.3
2,Novillo,0,280.0,38.5
2,Novillo,1,281.05,38.5
2,Novillo,2,281.79,39.3
2,Novillo,3,283.79,38.0
2,Novillo,4,284.65,39.6
2,Novillo,5,286.65,39.8
2,Novillo,6,287.88,38.5
2,Novillo,7,289.88,38.4
2,Novillo,8,291.18,39.1
2,Novillo,9,292.1,39.0
2,Novillo,10,294.1,38.2
2,Novillo,11,295.32,39.2
2,Novillo,12,297.32,39.9
2,Novillo,13,297.84,39.6
2,Novillo,14,299.84,39.8
2,Novillo,15,301.16,38.4
2,Novillo,16,303.16,39.9
2,Novillo,17,304.17,39.1
2,Novillo,18,304.89,38.4
2,Novillo,19,306.89,38.4
2,Novillo,20,308.28,39.1
2,Novillo,21,310.28,39.6
2,Novillo,22,311.13,39.9
3,Novillo,0,300.0,38.5
3,Novillo,1,301.28,39.4
3,Novillo,2,301.93,39.0
3,Novillo,3,302.23,39.3
3,Novillo,4,303.34,38.7
3,Novillo,5,303.64,38.6
3,Novillo,6,305.07,39.6
3,Novillo,7,305.37,39.0
3,Novillo,8,306.21,39.8
3,Novillo,9,307.16,38.5
3,Novillo,10,307.46,38.0
3,Novillo,11,308.58,39.9
3,Novillo,12,308.88,39.5
3,Novillo,13,309.61,39.6
3,Novillo,14,309.91,39.2
3,Novillo,15,310.89,39.7
3,Novillo,16,311.19,39.3
3,Novillo,17,312.4,38.2
3,Novillo,18,313.21,38.5
3,Novillo,19,313.51,38.4
3,Novillo,20,314.88,38.7
3,Novillo,21,315.18,38.1
3,Novillo,22,316.05,38.2
4,Toro,0,450.0,38.5
4,Toro,1,451.21,38.8
4,Toro,2,452.42,39.5
4,Toro,3,452.72,38.7
4,Toro,4,453.8,38.7
4,Toro,5,454.1,39.4
4,Toro,6,455.34,38.6
4,Toro,7,455.64,39.9
4,Toro,8,456.43,38.7
4,Toro,9,457.93,38.1
4,Toro,10,458.23,39.7
4,Toro,11,458.89,39.2
4,Toro,12,459.19,39.2
4,Toro,13,459.86,38.7
4,Toro,14,460.16,39.0
4,Toro,15,460.79,38.5
4,Toro,16,461.09,38.1
4,Toro,17,461.78,38.8
4,Toro,18,462.08,39.9
4,Toro,19,463.39,39.0
4,Toro,20,464.76,38.8
4,Toro,21,465.06,39.8
4,Toro,22,466.3,38.2
4,Toro,23,466.6,38.1
5,Ternero,0,200.0,38.5
5,Ternero,1,200.58,38.2
5,Ternero,2,201.49,39.4
5,Ternero,3,203.49,38.4
5,Ternero,4,204.72,39.9
5,Ternero,5,206.72,39.6
5,Ternero,6,207.42,38.6
5,Ternero,7,209.42,39.6
5,Ternero,8,210.39,39.9
5,Ternero,9,212.39,38.8
5,Ternero,10,213.27,38.6
5,Ternero,11,214.56,38.1
5,Ternero,12,216.56,39.2
5,Ternero,13,217.33,39.2
5,Ternero,14,219.33,39.9
5,Ternero,15,220.6,39.0
5,Ternero,16,222.6,39.1
5,Ternero,17,223.97,39.9
5,Ternero,18,225.97,38.9
5,Ternero,19,226.84,39.8
5,Ternero,20,227.36,38.1
5,Ternero,21,229.36,38.1
5,Ternero,22,230.71,38.7
5,Ternero,23,232.71,39.7
