Animal_ID,Tipo,Lectura,Peso_kg,Temperatura_C
1,Ternero,0,180.0,38.5
1,Ternero,1,181.21,39.1
1,Ternero,2,181.86,38.6
1,Ternero,3,183.86,38.5
1,Ternero,4,184.38,38.1
1,Ternero,5,186.38,39.3
1,Ternero,6,187.66,38.4
1,Ternero,7,189.66,39.3
1,Ternero,8,190.63,39.7
1,Ternero,9,192.63,39.5
1,Ternero,10,194.0,39.3
1,Ternero,11,194.84,39.4
2,Novillo,0,280.0,38.5
2,Novillo,1,281.44,39.9
2,Novillo,2,282.94,39.0
2,Novillo,3,284.94,39.7
2,Novillo,4,285.83,38.9
2,Novillo,5,287.83,39.8
2,Novillo,6,288.43,38.2
2,Novillo,7,290.43,38.0
2,Novillo,8,291.83,39.5
2,Novillo,9,293.83,38.6
2,Novillo,10,294.34,40.0
2,Novillo,11,295.14,39.9
2,Novillo,12,297.14,38.4
3,Novillo,0,300.0,38.5
3,Novillo,1,301.0,39.0
3,Novillo,2,302.06,39.6
3,Novillo,3,302.36,39.3
3,Novillo,4,303.41,39.5
3,Novillo,5,303.71,39.3
3,Novillo,6,304.31,39.6
3,Novillo,7,304.61,38.9
3,Novillo,8,305.32,39.8
3,Novillo,9,305.62,38.8
3,Novillo,10,306.92,39.4
3,Novillo,11,307.5,38.4
3,Novillo,12,307.8,39.7
4,Toro,0,450.0,38.5
4,Toro,1,450.68,38.7
4,Toro,2,451.67,39.3
4,Toro,3,451.97,38.2
4,Toro,4,452.54,39.0
4,Toro,5,452.84,38.9
4,Toro,6,453.34,39.1
4,Toro,7,453.64,38.1
4,Toro,8,455.1,39.6
4,Toro,9,455.4,39.8
4,Toro,10,456.13,39.7
4,Toro,11,457.17,38.9
4,Toro,12,457.47,39.9
4,Toro,13,458.2,38.5
5,Ternero,0,200.0,38.5
5,Ternero,1,200.56,38.8
5,Ternero,2,201.82,38.2
5,Ternero,3,203.82,39.6
5,Ternero,4,204.35,38.5
5,Ternero,5,206.35,39.2
5,Ternero,6,207.25,38.5
5,Ternero,7,209.25,39.0
5,Ternero,8,210.42,38.5
5,Ternero,9,212.42,39.0
5,Ternero,10,213.15,39.8
5,Ternero,11,213.71,39.7
5,Ternero,12,215.71,39.0
5,Ternero,13,216.47,38.8
