Animal_ID,Tipo,Lectura,Peso_kg,Temperatura_C
1,Ternero,0,180.0,38.5
1,Ternero,1,180.59,38.1
1,Ternero,2,181.79,39.3
1,Ternero,3,183.79,38.0
1,Ternero,4,185.17,38.8
1,Ternero,5,187.17,38.8
1,Ternero,6,188.59,39.1
1,Ternero,7,190.59,38.9
1,Ternero,8,192.02,39.6
1,Ternero,9,192.73,39.1
1,Ternero,10,194.73,38.0
1,Ternero,11,195.33,38.5
2,Novillo,0,280.0,38.5
2,Novillo,1,280.69,38.8
2,Novillo,2,281.41,38.3
2,Novillo,3,283.41,38.1
2,Novillo,4,284.6,38.9
2,Novillo,5,286.6,39.1
2,Novillo,6,287.68,39.6
2,Novillo,7,289.68,38.5
2,Novillo,8,290.97,39.2
2,Novillo,9,292.16,38.4
2,Novillo,10,294.16,38.7
2,Novillo,11,294.9,39.2
2,Novillo,12,296.9,39.7
3,Novillo,0,300.0,38.5
3,Novillo,1,300.95,38.2
3,Novillo,2,302.13,38.3
3,Novillo,3,303.13,39.1
3,Novillo,4,304.35,39.8
3,Novillo,5,305.35,38.8
3,Novillo,6,306.02,38.5
3,Novillo,7,307.02,39.7
3,Novillo,8,307.93,39.0
3,Novillo,9,308.49,39.1
3,Novillo,10,309.49,38.6
3,Novillo,11,310.32,39.5
3,Novillo,12,311.32,39.9
4,Toro,0,450.0,38.5
4,Toro,1,450.89,38.1
4,Toro,2,451.73,39.7
4,Toro,3,452.03,38.7
4,Toro,4,452.65,38.7
4,Toro,5,452.95,38.0
4,Toro,6,453.64,38.0
4,Toro,7,453.94,39.6
4,Toro,8,455.05,38.9
4,Toro,9,455.6,39.0
4,Toro,10,455.9,38.4
4,Toro,11,456.92,39.7
4,Toro,12,457.22,39.8
5,Ternero,0,200.0,38.5
5,Ternero,1,200.52,38.2
5,Ternero,2,201.84,38.5
5,Ternero,3,203.84,38.1
5,Ternero,4,204.46,38.8
5,Ternero,5,206.46,39.6
5,Ternero,6,207.27,38.5
5,Ternero,7,209.27,39.7
5,Ternero,8,210.59,38.5
5,Ternero,9,212.59,39.1
5,Ternero,10,213.4,39.8
5,Ternero,11,214.15,38.1
5,Ternero,12,216.15,39.6
5,Ternero,13,217.49,39.1
