Animal_ID,Tipo,Lectura,Peso_kg,Temperatura_C
1,Ternero,0,180.0,38.5
1,Ternero,1,180.73,38.5
1,Ternero,2,182.23,38.8
1,Ternero,3,184.23,38.8
1,Ternero,4,185.34,39.6
1,Ternero,5,187.34,39.6
1,Ternero,6,188.33,38.1
2,Novillo,0,280.0,38.5
2,Novillo,1,281.09,39.7
2,Novillo,2,281.81,39.8
2,Novillo,3,282.11,39.1
2,Novillo,4,283.21,39.7
2,Novillo,5,283.51,39.2
2,Novillo,6,284.24,38.5
3,Novillo,0,300.0,38.5
3,Novillo,1,300.71,39.6
3,Novillo,2,301.48,39.6
3,Novillo,3,301.78,38.5
3,Novillo,4,302.6,39.2
3,Novillo,5,302.9,39.0
3,Novillo,6,303.65,39.0
3,Novillo,7,303.95,39.3
4,Toro,0,450.0,38.5
4,Toro,1,451.29,38.6
4,Toro,2,452.52,39.9
4,Toro,3,452.82,39.9
4,Toro,4,454.28,39.6
4,Toro,5,454.58,38.9
4,Toro,6,455.59,39.5
4,Toro,7,455.89,38.0
4,Toro,8,456.88,39.4
5,Ternero,0,200.0,38.5
5,Ternero,1,201.04,38.1
5,Ternero,2,202.38,38.2
5,Ternero,3,204.38,38.9
5,Ternero,4,205.24,38.3
5,Ternero,5,207.24,39.1
5,Ternero,6,208.35,39.6
5,Ternero,7,210.35,38.8
5,Ternero,8,211.82,39.4
