Animal_ID,Tipo,Lectura,Peso_kg,Temperatura_C
1,Ternero,0,180.0,38.5
1,Ternero,1,181.44,38.2
1,Ternero,2,182.68,39.6
1,Ternero,3,184.68,38.2
1,Ternero,4,185.87,39.2
1,Ternero,5,187.87,38.2
1,Ternero,6,188.76,38.4
1,Ternero,7,190.76,38.8
1,Ternero,8,191.98,38.9
1,Ternero,9,192.64,39.0
1,Ternero,10,194.64,38.0
1,Ternero,11,195.93,38.7
1,Ternero,12,197.93,38.9
1,Ternero,13,199.08,40.0
1,Ternero,14,201.08,38.9
1,Ternero,15,202.25,39.2
1,Ternero,16,204.25,39.9
1,Ternero,17,204.9,38.3
1,Ternero,18,206.9,38.9
1,Ternero,19,208.05,38.7
1,Ternero,20,208.89,38.4
1,Ternero,21,210.89,39.9
2,Novillo,0,280.0,38.5
2,Novillo,1,281.11,39.9
2,Novillo,2,282.23,39.1
2,Novillo,3,284.23,39.2
2,Novillo,4,285.51,39.8
2,Novillo,5,287.51,38.0
2,Novillo,6,288.73,39.1
2,Novillo,7,290.73,39.8
2,Novillo,8,291.79,39.9
2,Novillo,9,293.11,40.0
2,Novillo,10,295.11,38.7
2,Novillo,11,295.79,38.7
2,Novillo,12,297.79,38.4
2,Novillo,13,298.39,38.4
2,Novillo,14,300.39,39.4
2,Novillo,15,301.82,38.1
2,Novillo,16,303.82,39.7
2,Novillo,17,304.69,38.9
2,Novillo,18,305.89,39.1
2,Novillo,19,307.89,39.1
2,Novillo,20,308.52,38.1
2,Novillo,21,310.52,39.1
2,Novillo,22,311.59,39.3
3,Novillo,0,300.0,38.5
3,Novillo,1,301.23,38.9
3,Novillo,2,302.44,38.0
3,Novillo,3,303.44,39.9
3,Novillo,4,304.52,39.8
3,Novillo,5,305.52,38.6
3,Novillo,6,306.88,39.5
3,Novillo,7,307.88,39.1
3,Novillo,8,309.29,38.8
3,Novillo,9,309.94,39.3
3,Novillo,10,310.94,38.2
3,Novillo,11,312.31,38.1
3,Novillo,12,313.31,39.3
3,Novillo,13,314.01,40.0
3,Novillo,14,315.01,39.0
3,Novillo,15,316.14,39.9
3,Novillo,16,317.14,38.4
3,Novillo,17,318.48,39.3
3,Novillo,18,319.48,39.2
3,Novillo,19,320.04,38.9
3,Novillo,20,320.72,39.2
3,Novillo,21,321.72,39.3
3,Novillo,22,322.3,38.9
4,Toro,0,450.0,38.5
4,Toro,1,451.13,38.8
4,Toro,2,452.12,39.1
4,Toro,3,452.42,38.0
4,Toro,4,453.2,39.9
4,Toro,5,453.5,39.6
4,Toro,6,454.0,39.3
4,Toro,7,454.3,39.9
4,Toro,8,455.05,39.3
4,Toro,9,455.6,39.3
4,Toro,10,455.9,38.7
4,Toro,11,457.18,39.1
4,Toro,12,457.48,38.7
4,Toro,13,458.65,38.4
4,Toro,14,458.95,39.9
4,Toro,15,460.01,38.1
4,Toro,16,460.31,38.3
4,Toro,17,461.8,39.5
4,Toro,18,462.1,39.9
4,Toro,19,462.88,39.0
4,Toro,20,464.07,38.6
4,Toro,21,464.37,39.8
4,Toro,22,465.74,38.5
4,Toro,23,466.04,39.9
5,Ternero,0,200.0,38.5
5,Ternero,1,200.94,38.9
5,Ternero,2,201.57,38.1
5,Ternero,3,203.57,39.3
5,Ternero,4,204.68,38.5
5,Ternero,5,206.68,39.8
5,Ternero,6,207.37,39.6
5,Ternero,7,209.37,39.2
5,Ternero,8,210.03,38.6
5,Ternero,9,212.03,39.6
5,Ternero,10,213.09,39.4
5,Ternero,11,213.68,39.8
5,Ternero,12,215.68,38.5
5,Ternero,13,216.54,39.1
5,Ternero,14,218.54,38.9
5,Ternero,15,219.46,39.2
5,Ternero,16,221.46,38.1
5,Ternero,17,222.69,38.9
5,Ternero,18,224.69,39.4
5,Ternero,19,225.55,39.4
5,Ternero,20,226.28,40.0
5,Ternero,21,228.28,39.7
5,Ternero,22,229.48,38.7
5,Ternero,23,231.48,38.4
