Animal_ID,Tipo,Lectura,Peso_kg,Temperatura_C
1,Ternero,0,180.0,38.5
1,Ternero,1,181.05,39.0
1,Ternero,2,181.86,39.4
1,Ternero,3,183.86,39.2
1,Ternero,4,184.91,38.5
1,Ternero,5,186.91,39.0
1,Ternero,6,187.7,38.5
1,Ternero,7,189.7,38.2
1,Ternero,8,190.52,39.0
1,Ternero,9,191.2,39.5
1,Ternero,10,193.2,38.1
1,Ternero,11,194.07,38.3
1,Ternero,12,196.07,38.6
1,Ternero,13,197.02,38.4
1,Ternero,14,199.02,38.7
1,Ternero,15,199.88,39.7
1,Ternero,16,201.88,38.5
2,Novillo,0,280.0,38.5
2,Novillo,1,280.91,39.4
2,Novillo,2,282.12,38.7
2,Novillo,3,284.12,39.2
2,Novillo,4,284.79,40.0
2,Novillo,5,286.79,39.9
2,Novillo,6,287.55,39.5
2,Novillo,7,289.55,38.7
2,Novillo,8,290.74,38.9
2,Novillo,9,291.31,39.0
2,Novillo,10,293.31,38.5
2,Novillo,11,294.79,39.5
2,Novillo,12,296.79,39.7
2,Novillo,13,297.4,38.2
2,Novillo,14,299.4,38.8
2,Novillo,15,300.62,38.1
2,Novillo,16,302.62,39.5
3,Novillo,0,300.0,38.5
3,Novillo,1,301.46,39.3
3,Novillo,2,302.93,39.7
3,Novillo,3,303.23,39.3
3,Novillo,4,304.02,38.8
3,Novillo,5,304.32,39.0
3,Novillo,6,305.39,39.2
3,Novillo,7,305.69,39.1
3,Novillo,8,306.79,39.7
3,Novillo,9,308.09,40.0
3,Novillo,10,308.39,38.1
3,Novillo,11,309.73,38.8
3,Novillo,12,310.03,38.7
3,Novillo,13,310.67,39.2
3,Novillo,14,310.97,39.8
3,Novillo,15,312.26,38.5
3,Novillo,16,312.56,39.0
3,Novillo,17,313.54,39.1
4,Toro,0,450.0,38.5
4,Toro,1,451.17,38.2
4,Toro,2,451.91,39.1
4,Toro,3,452.21,38.2
4,Toro,4,453.44,39.5
4,Toro,5,453.74,39.3
4,Toro,6,454.35,39.1
4,Toro,7,454.65,38.3
4,Toro,8,455.5,38.1
4,Toro,9,456.48,38.4
4,Toro,10,456.78,38.6
4,Toro,11,457.33,38.1
4,Toro,12,457.63,38.7
4,Toro,13,458.22,38.5
4,Toro,14,458.52,38.3
4,Toro,15,459.05,39.9
4,Toro,16,459.35,38.5
4,Toro,17,460.22,38.1
4,Toro,18,460.52,38.4
5,Ternero,0,200.0,38.5
5,Ternero,1,201.49,38.3
5,Ternero,2,202.7,38.5
5,Ternero,3,204.7,38.3
5,Ternero,4,205.83,38.2
5,Ternero,5,207.83,39.7
5,Ternero,6,208.71,39.0
5,Ternero,7,210.71,39.9
5,Ternero,8,211.41,38.4
5,Ternero,9,212.87,39.3
5,Ternero,10,214.87,39.3
5,Ternero,11,215.73,39.8
5,Ternero,12,217.73,38.5
5,Ternero,13,218.84,39.7
5,Ternero,14,220.84,38.7
5,Ternero,15,221.75,39.9
5,Ternero,16,223.75,39.1
5,Ternero,17,224.32,38.5
5,Ternero,18,226.32,39.9
